Date,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,557,17,0,0,0,0
2020-01-23,657,18,100,1,0,0
2020-01-24,944,26,287,8,0,0
2020-01-25,1437,42,493,16,0,0
2020-01-26,2120,56,683,14,0,0
2020-01-27,2929,82,809,26,0,0
2020-01-28,5580,131,2651,49,718,16
2020-01-29,6169,133,589,2,802,17
2020-01-30,8237,171,2068,38,1083,22
2020-01-31,9927,213,1690,42,1283,27
2020-02-01,12038,259,2111,46,1514,31
2020-02-02,16787,362,4749,103,2095,44
2020-02-03,19887,426,3100,64,2423,49
2020-02-04,23899,492,4012,66,2617,52
2020-02-05,27644,564,3745,72,3068,62
2020-02-06,30806,634,3162,70,3224,66
2020-02-07,34400,719,3594,85,3496,72
2020-02-08,37131,806,2731,87,3585,78
2020-02-09,40162,906,3031,100,3339,78
2020-02-10,42771,1013,2609,107,3269,84
2020-02-11,44814,1113,2043,100,2988,89
2020-02-12,45232,1118,418,5,2513,79
2020-02-13,60384,1371,15152,253,4225,105
2020-02-14,66912,1523,6528,152,4645,115
2020-02-15,69055,1666,2143,143,4561,123
2020-02-16,71238,1770,2183,104,4439,123
2020-02-17,73273,1868,2035,98,4357,122
2020-02-18,75155,2008,1882,140,4334,128
2020-02-19,75655,2123,500,115,4346,144
2020-02-20,76216,2248,561,125,2262,125
2020-02-21,76846,2252,630,4,1419,104
2020-02-22,78608,2459,1762,207,1365,113
2020-02-23,78990,2470,382,11,1107,100
2020-02-24,79558,2630,568,160,898,109
2020-02-25,80412,2710,854,80,751,100
2020-02-26,81385,2771,973,61,819,93
2020-02-27,82730,2814,1345,43,931,81
2020-02-28,84154,2873,1424,59,1044,89
2020-02-29,86030,2943,1876,70,1060,69
2020-03-01,88410,2997,2380,54,1346,75
2020-03-02,90393,3086,1983,89,1548,65
2020-03-03,93004,3160,2611,74,1799,64
2020-03-04,95329,3255,2325,95,1992,69
2020-03-05,98046,3348,2717,93,2188,76
2020-03-06,101976,3461,3930,113,2546,84
2020-03-07,106122,3566,4146,105,2870,89
2020-03-08,109972,3807,3850,241,3080,116
2020-03-09,114299,3997,4327,190,3415,130
2020-03-10,119108,4273,4809,276,3729,159
2020-03-11,126628,4618,7520,345,4471,195
2020-03-12,133383,4930,6755,312,5048,226
2020-03-13,146673,5420,13290,490,6385,280
2020-03-14,157617,5843,10944,423,7356,325
2020-03-15,168876,6496,11259,653,8415,384
2020-03-16,183394,7178,14518,682,9871,454
2020-03-17,198691,7989,15297,811,11369,531
2020-03-18,216348,8907,17657,918,12817,613
2020-03-19,243464,10017,27116,1110,15726,727
2020-03-20,273008,11504,29544,1487,18048,869
2020-03-21,305423,13233,32415,1729,21115,1056
2020-03-22,339895,14919,34472,1686,24431,1203
2020-03-23,382799,16886,42904,1967,28486,1387
2020-03-24,424883,19201,42084,2315,32313,1602
2020-03-25,475998,22022,51115,2821,37093,1874
2020-03-26,537412,25058,61414,3036,41993,2149
2020-03-27,601349,28538,63937,3480,46906,2433
2020-03-28,670495,32374,69146,3836,52153,2734
2020-03-29,726726,35838,56231,3464,55262,2988
2020-03-30,791975,39895,65249,4057,58454,3287
2020-03-31,870403,44661,78428,4766,63646,3637
2020-04-01,951968,50714,81565,6053,67996,4099
2020-04-02,1034275,56593,82307,5879,70980,4505
2020-04-03,1118277,62818,84002,6225,73847,4897
2020-04-04,1178363,68781,60086,5963,72553,5201
2020-04-05,1250388,74091,72025,5310,74809,5465
2020-04-06,1324899,79957,74511,5866,76132,5723
2020-04-07,1393878,88306,68979,8349,74782,6235
2020-04-08,1475875,95132,81997,6826,74844,6345
2020-04-09,1562641,103003,86766,7871,75481,6630
2020-04-10,1649186,110565,86545,7562,75844,6821
2020-04-11,1724605,117084,75419,6519,78035,6900
2020-04-12,1843412,122922,118807,5838,84718,6976
2020-04-13,1915034,128975,71622,6053,84305,7003
2020-04-14,1999558,136189,84524,7214,86526,6840
2020-04-15,2077371,144551,77813,8362,85928,7060
2020-04-16,2171785,152026,94414,7475,87021,7003
2020-04-17,2259607,160597,87822,8571,87203,7147
2020-04-18,2337796,166983,78189,6386,87599,7128
2020-04-19,2414457,172419,76661,5436,81578,7071
2020-04-20,2490365,178322,75908,5903,82190,7050
2020-04-21,2566638,185709,76273,7387,81011,7074
2020-04-22,2648575,192772,81937,7063,81601,6889
2020-04-23,2731191,199676,82616,6904,79915,6807
2020-04-24,2815227,206617,84036,6941,79374,6574
2020-04-25,2898734,212567,83507,5950,80134,6512
2020-04-26,2969606,216860,70872,4293,79307,6349
2020-04-27,3040528,221730,70922,4870,78595,6201
2020-04-28,3116384,228524,75856,6794,78535,6116
2020-04-29,3193728,235484,77344,6960,77879,6102
2020-04-30,3277569,241546,83841,6062,78054,5981
2020-05-01,3366610,247086,89041,5540,78769,5781
2020-05-02,3444964,252954,78354,5868,78033,5770
2020-05-03,3519125,256815,74161,3861,78503,5708
2020-05-04,3596510,261181,77385,4366,79426,5636
2020-05-05,3676149,267419,79639,6238,79966,5556
2020-05-06,3766683,274166,90534,6747,81851,5526
2020-05-07,3855364,279841,88681,5675,82542,5471
2020-05-08,3945797,285765,90433,5924,82741,5526
2020-05-09,4030371,290382,84574,4617,83630,5347
2020-05-10,4105624,294434,75253,4052,83786,5374
2020-05-11,4181600,298258,75976,3824,83584,5297
2020-05-12,4266957,304137,85357,5879,84401,5245
2020-05-13,4351290,309590,84333,5453,83515,5061
2020-05-14,4446959,315235,95669,5645,84514,5056
2020-05-15,4543310,320957,96351,5722,85359,5027
2020-05-16,4637421,325507,94111,4550,86721,5018
2020-05-17,4715829,329094,78408,3587,87172,4951
2020-05-18,4804897,333226,89068,4132,89042,4995
2020-05-19,4900710,338357,95813,5131,90536,4889
2020-05-20,5006099,343748,105389,5391,93544,4880
2020-05-21,5111870,348701,105771,4953,94987,4781
2020-05-22,5219114,354391,107244,5690,96543,4776
2020-05-23,5323547,358772,104433,4381,98018,4752
2020-05-24,5416801,362256,93254,3484,100139,4737
2020-05-25,5504948,363762,88147,1506,100007,4362
2020-05-26,5597804,368384,92856,4622,99585,4290
2020-05-27,5700330,373744,102526,5360,99176,4285
2020-05-28,5819995,378794,119665,5050,101161,4299
2020-05-29,5941625,383955,121630,5161,103216,4223
2020-05-30,6077041,388246,135416,4291,107642,4211
2020-05-31,6180061,391387,103020,3141,109037,4162
2020-06-01,6280296,395023,100235,3636,110764,4466
2020-06-02,6403453,400307,123157,5284,115093,4560
2020-06-03,6514705,405976,111252,5669,116339,4605
2020-06-04,6652817,411408,138112,5432,118975,4659
2020-06-05,6786463,416538,133646,5130,120691,4655
2020-06-06,6915945,420638,129482,4100,119843,4627
2020-06-07,7026914,423764,110969,3126,120979,4625
2020-06-08,7129985,428095,103071,4331,121384,4725
2020-06-09,7256297,433202,126312,5107,121835,4699
2020-06-10,7393421,438638,137124,5436,125531,4666
2020-06-11,7529261,443725,135840,5087,125206,4617
2020-06-12,7656733,448457,127472,4732,124324,4560
2020-06-13,7790659,452864,133926,4407,124959,4604
2020-06-14,7922545,456522,131886,3658,127947,4680
2020-06-15,8047366,460508,124821,3986,131054,4630
2020-06-16,8191583,467638,144217,7130,133612,4919
2020-06-17,8334714,473117,143131,5479,134470,4926
2020-06-18,8477437,478443,142723,5326,135454,4960
2020-06-19,8658514,484794,181077,6351,143112,5191
2020-06-20,8844374,489232,185860,4438,150531,5195
2020-06-21,8937379,493820,93005,4588,144976,5328
2020-06-22,9079532,497614,142153,3794,147452,5301
2020-06-23,9247902,503191,168370,5577,150903,5079
2020-06-24,9419320,508663,171418,5472,154944,5078
2020-06-25,9598762,513746,179442,5083,160189,5043
2020-06-26,9791221,518822,192459,5076,161815,4861
2020-06-27,9967566,523516,176345,4694,160456,4898
2020-06-28,10136032,527091,168466,3575,171236,4753
2020-06-29,10288517,531108,152485,4017,172712,4785
2020-06-30,10472385,536343,183868,5235,174926,4736
2020-07-01,10687359,541720,214974,5377,181148,4722
2020-07-02,10891991,547195,204632,5475,184747,4778
2020-07-03,11094487,552434,202496,5239,186181,4802
2020-07-04,11284154,557196,189667,4762,188084,4811
2020-07-05,11470135,560995,185981,3799,190586,4843
2020-07-06,11637923,565214,167788,4219,192772,4872
2020-07-07,11847615,571595,209692,6381,196461,5036
2020-07-08,12062729,577225,215114,5630,196481,5072
2020-07-09,12286931,583029,224202,5804,199277,5119
2020-07-10,12520121,588771,233190,5742,203662,5191
2020-07-11,12732941,593874,212820,5103,206970,5240
2020-07-12,12925796,598161,192855,4287,207952,5309
2020-07-13,13119978,602539,194182,4378,211722,5332
2020-07-14,13341228,608526,221250,5987,213373,5276
2020-07-15,13570476,614423,229248,5897,215392,5314
2020-07-16,13815424,620588,244948,6165,218356,5366
2020-07-17,14052932,627582,237508,6994,218973,5544
2020-07-18,14288256,634080,235324,6498,222188,5744
2020-07-19,14500046,638971,211790,4891,224893,5830
2020-07-20,14708011,642893,207965,3922,226862,5765
2020-07-21,14951217,649249,243206,6356,229998,5818
2020-07-22,15226372,656622,275155,7373,236557,6028
2020-07-23,15506179,663262,279807,6640,241536,6096
2020-07-24,15789858,669717,283679,6455,248132,6019
2020-07-25,16039878,675792,250020,6075,250232,5959
2020-07-26,16251880,680145,212002,4353,250262,5882
2020-07-27,16485974,685422,234094,5277,253995,6076
2020-07-28,16750382,692366,264408,6944,257024,6160
2020-07-29,17020687,699019,270305,6653,256331,6057
2020-07-30,17302404,705765,281717,6746,256604,6072
2020-07-31,17590145,712354,287741,6589,257184,6091
2020-08-01,17836466,718356,246321,6002,256655,6081
2020-08-02,18067265,723008,230799,4652,259341,6123
2020-08-03,18273134,727807,205869,4799,255309,6055
2020-08-04,18538734,734978,265600,7171,255479,6087
2020-08-05,18813900,742360,275166,7382,256173,6192
2020-08-06,19100788,749183,286888,6823,256912,6203
2020-08-07,19383355,755920,282567,6737,256173,6224
2020-08-08,19648713,761937,265358,6017,258892,6226
2020-08-09,19881837,767106,233124,5169,259225,6300
2020-08-10,20114995,772469,233158,5363,263123,6380
2020-08-11,20380911,779101,265916,6632,263168,6303
2020-08-12,20655885,786048,274974,6947,263141,6241
2020-08-13,20946163,792840,290278,6792,263625,6237
2020-08-14,21253368,799421,307205,6581,267145,6214
2020-08-15,21502515,805439,249147,6018,264829,6215
2020-08-16,21712481,810225,209966,4786,261521,6160
2020-08-17,21925213,814842,212732,4617,258603,6053
2020-08-18,22184889,821893,259676,7051,257711,6113
2020-08-19,22462185,828302,277296,6409,258043,6036
2020-08-20,22733750,834739,271565,6437,255370,5986
2020-08-21,22995385,840476,261635,5737,248860,5865
2020-08-22,23259276,846274,263891,5798,250966,5834
2020-08-23,23461927,850586,202651,4312,249921,5766
2020-08-24,23689888,855405,227961,4819,252096,5795
2020-08-25,23935409,861970,245521,6565,250074,5725
2020-08-26,24216938,868511,281529,6541,250679,5744
2020-08-27,24504301,874717,287363,6206,252936,5711
2020-08-28,24788323,880534,284022,5817,256134,5723
2020-08-29,25049249,886339,260926,5805,255710,5724
2020-08-30,25268736,890600,219487,4261,258116,5716
2020-08-31,25532930,895016,264194,4416,263292,5659
2020-09-01,25799976,901614,267046,6598,266367,5663
2020-09-02,26081699,907908,281723,6294,266394,5628
2020-09-03,26367170,914006,285471,6098,266124,5613
2020-09-04,26668499,919857,301329,5851,268597,5618
2020-09-05,26942595,924962,274096,5105,270478,5518
2020-09-06,27171440,929078,228845,4116,271815,5497
2020-09-07,27388662,938684,217222,9606,265105,6238
2020-09-08,27635123,943817,246461,5133,262164,6029
2020-09-09,27920213,950075,285090,6258,262645,6024
2020-09-10,28224541,956075,304328,6000,265339,6010
2020-09-11,28540587,962068,316046,5993,267441,6030
2020-09-12,28829539,967111,288952,5043,269563,6021
2020-09-13,29077878,971055,248339,3944,272348,5997
2020-09-14,29344683,975643,266805,4588,279432,5280
2020-09-15,29625452,982216,280769,6573,284333,5486
2020-09-16,29930181,988076,304729,5860,287138,5429
2020-09-17,30245688,993715,315507,5639,288735,5377
2020-09-18,30572221,999566,326533,5851,290233,5357
2020-09-19,30865470,1004872,293249,5306,290847,5394
2020-09-20,31120345,1008828,254875,3956,291781,5396
2020-09-21,31379958,1013231,259613,4403,290754,5370
2020-09-22,31664541,1019388,284583,6157,291298,5310
2020-09-23,31976037,1025913,311496,6525,292265,5405
2020-09-24,32296990,1031593,320953,5680,293043,5411
2020-09-25,32627024,1037605,330034,6012,293543,5434
2020-09-26,32912811,1043037,285787,5432,292477,5452
2020-09-27,33159736,1046878,246925,3841,291342,5436
2020-09-28,33422170,1050951,262434,4073,291745,5389
2020-09-29,33704894,1057046,282724,6095,291479,5380
2020-09-30,34029080,1063488,324186,6442,293292,5368
2020-10-01,34348139,1072373,319059,8885,293021,5826
2020-10-02,34677414,1077969,329275,5596,292913,5766
2020-10-03,34974941,1082692,297527,4723,294590,5665
2020-10-04,35234912,1086683,259971,3991,296454,5686
2020-10-05,35545699,1093722,310787,7039,303361,6110
2020-10-06,35861625,1099576,315926,5854,308104,6076
2020-10-07,36210456,1105467,348831,5891,311625,5997
2020-10-08,36569609,1111833,359153,6366,317353,5637
2020-10-09,36929540,1118024,359931,6191,321732,5722
2020-10-10,37285319,1122904,355779,4880,330054,5745
2020-10-11,37574472,1127028,289153,4124,334223,5764
2020-10-12,37863592,1131078,289120,4050,331128,5337
2020-10-13,38182789,1136463,319197,5385,331595,5270
2020-10-14,38562868,1142654,380079,6191,336059,5312
2020-10-15,38969780,1148837,406912,6183,342882,5286
2020-10-16,39379895,1155025,410115,6188,350051,5286
2020-10-17,39752176,1160737,372281,5712,352408,5405
2020-10-18,40083148,1164590,330972,3853,358382,5366
2020-10-19,40456878,1169292,373730,4702,370469,5459
2020-10-20,40845321,1175943,388443,6651,380362,5640
2020-10-21,41284309,1182798,438988,6855,388777,5735
2020-10-22,41766204,1188695,481895,5897,399489,5694
2020-10-23,42259529,1195788,493325,7093,411376,5823
2020-10-24,42716464,1201651,456935,5863,423470,5845
2020-10-25,43075336,1205906,358872,4255,427455,5902
2020-10-26,43558104,1211520,482768,5614,443032,6033
2020-10-27,44025232,1218996,467128,7476,454273,6150
2020-10-28,44545397,1226179,520165,7183,465870,6197
2020-10-29,45095600,1233380,550203,7201,475628,6384
2020-10-30,45667520,1241057,571920,7677,486856,6467
2020-10-31,46140588,1247660,473068,6603,489161,6573
2020-11-01,46578413,1252779,437825,5119,500440,6696
2020-11-02,47124212,1258854,545799,6075,509444,6762
2020-11-03,47687439,1268427,563227,9573,523172,7062
2020-11-04,48179325,1278499,491886,10072,519133,7474
2020-11-05,48797426,1287166,618101,8667,528832,7684
2020-11-06,49418108,1296318,620682,9152,535798,7894
2020-11-07,50018687,1304068,600579,7750,554014,8058
2020-11-08,50508065,1310158,489378,6090,561379,8197
2020-11-09,51015418,1317391,507353,7233,555887,8362
2020-11-10,51584111,1327237,568693,9846,556667,8401
2020-11-11,52207978,1337787,623867,10550,575522,8470
2020-11-12,52849166,1347560,641188,9773,578820,8628
2020-11-13,53511432,1357352,662266,9792,584761,8719
2020-11-14,54098149,1366475,586717,9123,582780,8915
2020-11-15,54588232,1373087,490083,6612,582881,8990
2020-11-16,55110823,1380828,522591,7741,585058,9062
2020-11-17,55711730,1391876,600907,11048,589660,9234
2020-11-18,56333473,1403334,621743,11458,589356,9364
2020-11-19,56987275,1414453,653802,11119,591158,9556
2020-11-20,57662075,1426213,674800,11760,592949,9837
2020-11-21,58256749,1435353,594674,9140,594086,9840
2020-11-22,58755072,1442824,498323,7471,595263,9962
2020-11-23,59284353,1451132,529281,8308,596219,10043
2020-11-24,59875565,1463736,591212,12604,594834,10266
2020-11-25,60492652,1475890,617087,12154,594168,10365
2020-11-26,61086033,1486891,593381,11001,585537,10348
2020-11-27,61780326,1498394,694293,11503,588322,10312
2020-11-28,62388284,1507860,607958,9466,590219,10358
2020-11-29,62884434,1515172,496150,7312,589909,10335
2020-11-30,63386344,1523873,501910,8701,585999,10392
2020-12-01,64000159,1536532,613815,12659,589228,10399
2020-12-02,64639978,1549160,639819,12628,592475,10467
2020-12-03,65331254,1561779,691276,12619,606460,10698
2020-12-04,66028169,1574187,696915,12408,606835,10828
2020-12-05,66672388,1584737,644219,10550,612015,10982
2020-12-06,67216584,1592557,544196,7820,618879,11055
2020-12-07,67750014,1600972,533430,8415,623381,11014
2020-12-08,68380626,1613132,630612,12160,625781,10943
2020-12-09,69046486,1625916,665860,12784,629501,10965
2020-12-10,70543194,1638408,1496708,12492,744563,10947
2020-12-11,71251444,1651556,708250,13148,746182,11053
2020-12-12,71901650,1662469,650206,10913,747037,11105
2020-12-13,72441140,1670406,539490,7937,746365,11121
2020-12-14,72992271,1679234,551131,8828,748894,11180
2020-12-15,73639542,1692579,647271,13345,751274,11350
2020-12-16,74357765,1706670,718223,14091,758754,11536
2020-12-17,75096946,1719993,739181,13323,650536,11655
2020-12-18,75819294,1733005,722348,13012,652550,11636
2020-12-19,76455347,1744311,636053,11306,650528,11692
2020-12-20,77003179,1752546,547832,8235,651720,11734
2020-12-21,77549228,1761625,546049,9079,650994,11770
2020-12-22,78201068,1775566,651840,13941,651647,11855
2020-12-23,78883803,1789509,682735,13943,646577,11834
2020-12-24,79579153,1801705,695350,12196,640315,11673
2020-12-25,80098228,1810601,519075,8896,611276,11085
2020-12-26,80605026,1818041,506798,7440,592811,10533
2020-12-27,81017977,1825789,412951,7748,573543,10463
2020-12-28,81516474,1834888,498497,9099,566749,10466
2020-12-29,82187305,1849717,670831,14829,569462,10593
2020-12-30,82913042,1865432,725737,15715,575606,10846
2020-12-31,83753075,1879122,840033,13690,596275,11060
2021-01-01,84341129,1889077,588054,9955,606129,11211
2021-01-02,84921890,1897496,580761,8419,616695,11351
2021-01-03,85442114,1905134,520224,7638,632020,11335
2021-01-04,85998532,1914530,556418,9396,640294,11377
2021-01-05,86740208,1929931,741676,15401,650415,11459
2021-01-06,87531297,1944927,791089,14996,659751,11356
2021-01-07,88402136,1959982,870839,15055,664152,11551
2021-01-08,89238832,1975521,836696,15539,699672,12349
2021-01-09,89996683,1988855,757851,13334,724970,13051
2021-01-10,90598523,1997796,601840,8941,736630,13237
2021-01-11,91212596,2007354,614073,9558,744866,13261
2021-01-12,91904578,2024302,691982,16948,737767,13482
2021-01-13,92648667,2041022,744089,16720,731053,13728
2021-01-14,93409890,2056610,761223,15588,715393,13804
2021-01-15,94194314,2072243,784424,15633,707926,13817
2021-01-16,94852162,2086164,657848,13921,693640,13901
2021-01-17,95379938,2095253,527776,9089,683059,13922
2021-01-18,95896595,2104872,516657,9619,669143,13931
2021-01-19,96489830,2120725,593235,15853,655036,13775
2021-01-20,97176788,2138868,686958,18143,646874,13978
2021-01-21,97846151,2156151,669363,17283,633752,14220
2021-01-22,98510412,2172232,664261,16081,616585,14284
2021-01-23,99087798,2186850,577386,14618,605091,14384
2021-01-24,99549884,2195957,462086,9107,595707,14386
2021-01-25,100030792,2206362,480908,10405,590600,14499
2021-01-26,100592320,2224173,561528,17811,586070,14778
2021-01-27,101193735,2241615,601415,17442,573850,14678
2021-01-28,101808776,2258177,615041,16562,566089,14575
2021-01-29,102398247,2273979,589471,15802,555405,14535
2021-01-30,102913518,2287429,515271,13450,546531,14368
2021-01-31,103310123,2296527,396605,9098,537177,14367
2021-02-01,103752688,2306150,442565,9623,531699,14255
2021-02-02,104217880,2321484,465192,15334,517937,13902
2021-02-03,104743426,2337679,525546,16195,507099,13723
2021-02-04,105215449,2350625,472023,12946,486668,13207
2021-02-05,105752476,2367926,537027,17301,479176,13421
2021-02-06,106188323,2379783,435847,11857,467829,13193
2021-02-07,106540137,2387143,351814,7360,461431,12945
2021-02-08,106879564,2396212,339427,9069,446697,12866
2021-02-09,107286701,2411279,407137,15067,438403,12828
2021-02-10,107727017,2425448,440316,14169,426227,12538
2021-02-11,108171909,2439315,444892,13867,422351,12670
2021-02-12,108602636,2452310,430727,12995,407166,12055
2021-02-13,108983366,2463034,380730,10724,399292,11893
2021-02-14,109292190,2469761,308824,6727,393150,11803
2021-02-15,109572409,2477164,280219,7403,384692,11565
2021-02-16,109931831,2488491,359422,11327,377876,11030
2021-02-17,110318342,2500087,386511,11596,370189,10663
2021-02-18,110729640,2512001,411298,11914,365390,10384
2021-02-19,111139580,2523693,409940,11692,362421,10198
2021-02-20,111515230,2532767,375650,9074,361695,9962
2021-02-21,111834482,2539343,319252,6576,363185,9940
2021-02-22,112129135,2546356,294653,7013,365247,9885
2021-02-23,112522443,2558026,393308,11670,370087,9934
2021-02-24,112967480,2570562,445037,12536,378448,10068
2021-02-25,113421072,2581421,453592,10859,384490,9917
2021-02-26,113863138,2591996,442066,10575,389080,9758
2021-02-27,114260988,2600691,397850,8695,392251,9703
2021-02-28,114569813,2607029,308825,6338,390762,9669
2021-03-01,114874850,2614416,305037,7387,392245,9723
2021-03-02,115188425,2624772,313575,10356,380855,9535
2021-03-03,115630622,2636546,442197,11774,380449,9426
2021-03-04,116089417,2647015,458795,10469,381192,9371
2021-03-05,116539442,2657485,450025,10470,382329,9356
2021-03-06,116953953,2665755,414511,8270,384709,9295
2021-03-07,117327861,2671692,373908,5937,394007,9238
2021-03-08,117632319,2678717,304458,7025,393924,9186
2021-03-09,118046564,2689280,414245,10563,408306,9215
2021-03-10,118505479,2699457,458915,10177,410694,8987
2021-03-11,118995836,2709693,490357,10236,415203,8954
2021-03-12,119485614,2719584,489778,9891,420882,8871
2021-03-13,119941781,2728176,456167,8592,426833,8917
2021-03-14,120306971,2733988,365190,5812,425587,8899
2021-03-15,120659926,2741454,352955,7466,432515,8962
2021-03-16,121126545,2752081,466619,10627,439997,8972
2021-03-17,121672187,2762677,545642,10596,452387,9031
2021-03-18,122220797,2773399,548610,10722,460709,9101
2021-03-19,122784013,2784225,563216,10826,471200,9234
2021-03-20,123283226,2793008,499213,8783,477349,9262
