Date,Total_daily_cases,Parties_Reporting
2020-01-22,548,8
2020-01-23,95,8
2020-01-24,279,8
2020-01-25,487,8
2020-01-26,671,8
2020-01-27,802,8
2020-01-28,2635,8
2020-01-29,579,8
2020-01-30,2054,8
2020-01-31,1668,8
2020-02-01,2093,8
2020-02-02,4741,8
2020-02-03,3097,8
2020-02-04,3991,8
2020-02-05,3733,8
2020-02-06,3148,8
2020-02-07,3524,8
2020-02-08,2713,8
2020-02-09,3017,8
2020-02-10,2524,8
2020-02-11,2036,8
2020-02-12,374,8
2020-02-13,15138,8
2020-02-14,6463,8
2020-02-15,2056,8
2020-02-16,2099,8
2020-02-17,1922,8
2020-02-18,1776,8
2020-02-19,410,8
2020-02-20,462,8
2020-02-21,506,8
2020-02-22,1502,8
2020-02-23,133,8
2020-02-24,313,8
2020-02-25,650,8
2020-02-26,605,8
2020-02-27,776,8
2020-02-28,779,8
2020-02-29,954,8
2020-03-01,1686,8
2020-03-02,1261,8
2020-03-03,1604,8
2020-03-04,1573,8
2020-03-05,1920,8
2020-03-06,2812,8
2020-03-07,3206,8
2020-03-08,2971,8
2020-03-09,3601,8
2020-03-10,3509,8
2020-03-11,5444,8
2020-03-12,5467,8
2020-03-13,9998,8
2020-03-14,8724,8
2020-03-15,7987,8
2020-03-16,11864,8
2020-03-17,11313,8
2020-03-18,13719,8
2020-03-19,20677,8
2020-03-20,22132,8
2020-03-21,24143,8
2020-03-22,24700,8
2020-03-23,33547,8
2020-03-24,31879,8
2020-03-25,39028,8
2020-03-26,46792,8
2020-03-27,48267,8
2020-03-28,52616,8
2020-03-29,40675,8
2020-03-30,50719,8
2020-03-31,59945,8
2020-04-01,62619,8
2020-04-02,61089,8
2020-04-03,63320,8
2020-04-04,39377,8
2020-04-05,52026,8
2020-04-06,54519,8
2020-04-07,46341,8
2020-04-08,56419,8
2020-04-09,60234,8
2020-04-10,56576,8
2020-04-11,49508,8
2020-04-12,93134,8
2020-04-13,45179,8
2020-04-14,59284,8
2020-04-15,46072,8
2020-04-16,63222,8
2020-04-17,54659,8
2020-04-18,45295,8
2020-04-19,44242,8
2020-04-20,44330,8
2020-04-21,43361,8
2020-04-22,48254,8
2020-04-23,46112,8
2020-04-24,36293,8
2020-04-25,44874,8
2020-04-26,37050,8
2020-04-27,38652,8
2020-04-28,38146,8
2020-04-29,37478,8
2020-04-30,40784,8
2020-05-01,46566,8
2020-05-02,35804,8
2020-05-03,31096,8
2020-05-04,31411,8
2020-05-05,33242,8
2020-05-06,37544,8
2020-05-07,37553,8
2020-05-08,36284,8
2020-05-09,31744,8
2020-05-10,24980,8
2020-05-11,28856,8
2020-05-12,31963,8
2020-05-13,28154,8
2020-05-14,33748,8
2020-05-15,32351,8
2020-05-16,30316,8
2020-05-17,23780,8
2020-05-18,29350,8
2020-05-19,27950,8
2020-05-20,30358,8
2020-05-21,32272,8
2020-05-22,31883,8
2020-05-23,25916,8
2020-05-24,24760,8
2020-05-25,23317,8
2020-05-26,24144,8
2020-05-27,23802,8
2020-05-28,31219,8
2020-05-29,31940,8
2020-05-30,30090,8
2020-05-31,23628,8
2020-06-01,23385,8
2020-06-02,24870,8
2020-06-03,21472,8
2020-06-04,38025,8
2020-06-05,32367,8
2020-06-06,24921,8
2020-06-07,21995,8
2020-06-08,20977,8
2020-06-09,25031,8
2020-06-10,26391,8
2020-06-11,27238,8
2020-06-12,30716,8
2020-06-13,29127,8
2020-06-14,23533,8
2020-06-15,25346,8
2020-06-16,29715,8
2020-06-17,32220,8
2020-06-18,33969,8
2020-06-19,36377,8
2020-06-20,36724,8
2020-06-21,30438,8
2020-06-22,34455,8
2020-06-23,43653,8
2020-06-24,41345,8
2020-06-25,44200,8
2020-06-26,54756,8
2020-06-27,45746,8
2020-06-28,46163,8
2020-06-29,45712,8
2020-06-30,54074,8
2020-07-01,53792,8
2020-07-02,59305,8
2020-07-03,56232,8
2020-07-04,50056,8
2020-07-05,57272,8
2020-07-06,48850,8
2020-07-07,61814,8
2020-07-08,65472,8
2020-07-09,64068,8
2020-07-10,73922,8
2020-07-11,64524,8
2020-07-12,63517,8
2020-07-13,66102,8
2020-07-14,70743,8
2020-07-15,71093,8
2020-07-16,76737,8
2020-07-17,72657,8
2020-07-18,68356,8
2020-07-19,62434,8
2020-07-20,70689,8
2020-07-21,73945,8
2020-07-22,73866,8
2020-07-23,76167,8
2020-07-24,83005,8
2020-07-25,68661,8
2020-07-26,59726,8
2020-07-27,72429,8
2020-07-28,71491,8
2020-07-29,72240,8
2020-07-30,78464,8
2020-07-31,73918,8
2020-08-01,62399,8
2020-08-02,51195,8
2020-08-03,57903,8
2020-08-04,73005,8
2020-08-05,63885,8
2020-08-06,71063,8
2020-08-07,72665,8
2020-08-08,68469,8
2020-08-09,58555,8
2020-08-10,68781,8
2020-08-11,66936,8
2020-08-12,66373,8
2020-08-13,67738,8
2020-08-14,84598,8
2020-08-15,61024,8
2020-08-16,42140,8
2020-08-17,58701,8
2020-08-18,57495,8
2020-08-19,61811,8
2020-08-20,63054,8
2020-08-21,66402,8
2020-08-22,55685,8
2020-08-23,41856,8
2020-08-24,60213,8
2020-08-25,58997,8
2020-08-26,56030,8
2020-08-27,78099,8
2020-08-28,70354,8
2020-08-29,54533,8
2020-08-30,45207,8
2020-08-31,64749,8
2020-09-01,60451,8
2020-09-02,61623,8
2020-09-03,67746,8
2020-09-04,74911,8
2020-09-05,59036,8
2020-09-06,43452,8
2020-09-07,62491,8
2020-09-08,50121,8
2020-09-09,58721,8
2020-09-10,68501,8
2020-09-11,75330,8
2020-09-12,65726,8
2020-09-13,54568,8
2020-09-14,73530,8
2020-09-15,62915,8
2020-09-16,70127,8
2020-09-17,76902,8
2020-09-18,89045,8
2020-09-19,70592,8
2020-09-20,62132,8
2020-09-21,79033,8
2020-09-22,71049,8
2020-09-23,78866,8
2020-09-24,89573,8
2020-09-25,90052,8
2020-09-26,71443,8
2020-09-27,56705,8
2020-09-28,84106,8
2020-09-29,64655,8
2020-09-30,88307,8
2020-10-01,84530,8
2020-10-02,92966,8
2020-10-03,87638,8
2020-10-04,77159,8
2020-10-05,86665,8
2020-10-06,91918,8
2020-10-07,103322,8
2020-10-08,118223,8
2020-10-09,116859,8
2020-10-10,111608,8
2020-10-11,88601,8
2020-10-12,104473,8
2020-10-13,102286,8
2020-10-14,130454,8
2020-10-15,145723,8
2020-10-16,148575,8
2020-10-17,126057,8
2020-10-18,120237,8
2020-10-19,156864,8
2020-10-20,140176,8
2020-10-21,160238,8
2020-10-22,195564,8
2020-10-23,201479,8
2020-10-24,186896,8
2020-10-25,126076,8
2020-10-26,242501,8
2020-10-27,193465,8
2020-10-28,215343,8
2020-10-29,236504,8
2020-10-30,257200,8
2020-10-31,203056,8
2020-11-01,199174,8
2020-11-02,304613,8
2020-11-03,288688,8
2020-11-04,160755,8
2020-11-05,295296,8
2020-11-06,302079,8
2020-11-07,311432,8
2020-11-08,236774,8
2020-11-09,261272,8
2020-11-10,240411,8
2020-11-11,306855,8
2020-11-12,315774,8
2020-11-13,328572,8
2020-11-14,293840,8
2020-11-15,255390,8
2020-11-16,274060,8
2020-11-17,303463,8
2020-11-18,301048,8
2020-11-19,324300,8
2020-11-20,334572,8
2020-11-21,288150,8
2020-11-22,235617,8
2020-11-23,274287,8
2020-11-24,257621,8
2020-11-25,283877,8
2020-11-26,225420,8
2020-11-27,318353,8
2020-11-28,258128,8
2020-11-29,210649,8
2020-11-30,232548,8
2020-12-01,274225,8
2020-12-02,287653,8
2020-12-03,317368,8
2020-12-04,333051,8
2020-12-05,307158,8
2020-12-06,255941,8
2020-12-07,268254,8
2020-12-08,293547,8
2020-12-09,300995,8
2020-12-10,331059,8
2020-12-11,342766,8
2020-12-12,316885,8
2020-12-13,267364,8
2020-12-14,290708,8
2020-12-15,304057,8
2020-12-16,341864,8
2020-12-17,358999,8
2020-12-18,360705,8
2020-12-19,304664,8
2020-12-20,280452,8
2020-12-21,292056,8
2020-12-22,304605,8
2020-12-23,333163,8
2020-12-24,343023,8
2020-12-25,230987,8
2020-12-26,286088,8
2020-12-27,205558,8
2020-12-28,267886,8
2020-12-29,315136,8
2020-12-30,356785,8
2020-12-31,471648,8
2021-01-01,303248,8
2021-01-02,364266,8
2021-01-03,301595,8
2021-01-04,305938,8
2021-01-05,371971,8
2021-01-06,395489,8
2021-01-07,454507,8
2021-01-08,473348,8
2021-01-09,395763,8
2021-01-10,323480,8
2021-01-11,346881,8
2021-01-12,346368,8
2021-01-13,381674,8
2021-01-14,390714,8
2021-01-15,407607,8
2021-01-16,321835,8
2021-01-17,264568,8
2021-01-18,288572,8
2021-01-19,276630,8
2021-01-20,330684,8
2021-01-21,338504,8
2021-01-22,336398,8
2021-01-23,272074,8
2021-01-24,218779,8
2021-01-25,271667,8
2021-01-26,253362,8
2021-01-27,283217,8
2021-01-28,292829,8
2021-01-29,288554,8
2021-01-30,229817,8
2021-01-31,182139,8
2021-02-01,248276,8
2021-02-02,208989,8
2021-02-03,231431,8
2021-02-04,210701,8
2021-02-05,258721,8
2021-02-06,186757,8
2021-02-07,152433,8
2021-02-08,168252,8
2021-02-09,164928,8
2021-02-10,180513,8
2021-02-11,192147,8
2021-02-12,182151,8
2021-02-13,154380,8
2021-02-14,120576,8
2021-02-15,119449,8
2021-02-16,121774,8
2021-02-17,145170,8
2021-02-18,153773,8
2021-02-19,155438,8
2021-02-20,138641,8
2021-02-21,116240,8
2021-02-22,113923,8
2021-02-23,135586,8
2021-02-24,158419,8
2021-02-25,162251,8
2021-02-26,156191,8
2021-02-27,139536,8
2021-02-28,111154,8
2021-03-01,103001,8
2021-03-02,42879,8
2021-03-03,144845,8
2021-03-04,150102,8
2021-03-05,147055,8
2021-03-06,131987,8
2021-03-07,105583,8
2021-03-08,93668,8
2021-03-09,121131,8
2021-03-10,140634,8
2021-03-11,151326,8
2021-03-12,147497,8
2021-03-13,138781,8
2021-03-14,110148,8
2021-03-15,103883,8
2021-03-16,128678,8
2021-03-17,153986,8
2021-03-18,159973,8
2021-03-19,152454,8
2021-03-20,147359,8
2021-03-21,112455,8
2021-03-22,124715,8
2021-03-23,112036,8
2021-03-24,203467,8
2021-03-25,186858,8
2021-03-26,185757,8
2021-03-27,163055,8
2021-03-28,132954,8
2021-03-29,127375,8
2021-03-30,137352,8
2021-03-31,192526,8
2021-04-01,197434,8
2021-04-02,179662,8
2021-04-03,128875,8
2021-04-04,162910,8
2021-04-05,124195,8
2021-04-06,112011,8
2021-04-07,132643,8
2021-04-08,250357,8
2021-04-09,157910,8
2021-04-10,135989,8
2021-04-11,221794,8
2021-04-12,143531,8
2021-04-13,177815,8
2021-04-14,195576,8
2021-04-15,195954,8
2021-04-16,200406,8
2021-04-17,154165,8
2021-04-18,128661,8
2021-04-19,134063,8
2021-04-20,156252,8
2021-04-21,183030,8
2021-04-22,183406,8
2021-04-23,174908,8
2021-04-24,145197,8
2021-04-25,112132,8
2021-04-26,111619,8
2021-04-27,135338,8
2021-04-28,154946,8
2021-04-29,156965,8
2021-04-30,151020,8
2021-05-01,125372,8
2021-05-02,86312,8
2021-05-03,102284,8
2021-05-04,110593,8
2021-05-05,125025,8
2021-05-06,130650,8
2021-05-07,124365,8
2021-05-08,97950,8
2021-05-09,68875,8
2021-05-10,82480,8
2021-05-11,93939,8
2021-05-12,105547,8
2021-05-13,106332,8
2021-05-14,86885,8
2021-05-15,70817,8
2021-05-16,59230,8
2021-05-17,64868,8
2021-05-18,70384,8
2021-05-19,86240,8
2021-05-20,-279686,8
2021-05-21,74399,8
2021-05-22,56191,8
2021-05-23,45022,8
2021-05-24,53750,8
2021-05-25,52558,8
2021-05-26,62310,8
2021-05-27,69928,8
2021-05-28,64442,8
2021-05-29,43984,8
2021-05-30,34854,8
2021-05-31,34538,8
2021-06-01,53195,8
2021-06-02,46788,8
2021-06-03,60682,8
2021-06-04,50909,8
2021-06-05,39137,8
2021-06-06,26785,8
2021-06-07,37729,8
2021-06-08,40510,8
2021-06-09,51962,8
2021-06-10,58217,8
2021-06-11,55493,8
2021-06-12,31829,8
2021-06-13,26677,8
2021-06-14,40481,8
2021-06-15,37167,8
2021-06-16,41017,8
2021-06-17,41807,8
2021-06-18,51249,8
2021-06-19,30565,8
2021-06-20,25820,8
2021-06-21,40092,8
2021-06-22,41591,8
2021-06-23,48531,8
2021-06-24,50762,8
2021-06-25,59238,8
2021-06-26,37975,8
2021-06-27,32036,8
2021-06-28,59991,8
2021-06-29,52046,8
2021-06-30,64961,8
2021-07-01,73875,8
2021-07-02,87203,8
2021-07-03,42921,8
2021-07-04,46049,8
2021-07-05,86216,8
2021-07-06,85956,8
2021-07-07,93043,8
2021-07-08,100514,8
2021-07-09,128757,8
2021-07-10,60848,8
2021-07-11,67471,8
2021-07-12,121192,8
2021-07-13,138820,8
2021-07-14,128276,8
2021-07-15,147087,8
2021-07-16,198412,8
2021-07-17,99402,8
2021-07-18,107796,8
2021-07-19,182807,8
2021-07-20,164066,8
2021-07-21,177997,8
2021-07-22,175494,8
2021-07-23,236627,8
2021-07-24,112031,8
2021-07-25,105659,8
2021-07-26,207075,8
2021-07-27,182999,8
2021-07-28,196711,8
2021-07-29,199391,8
2021-07-30,303704,8
2021-07-31,122458,8
2021-08-01,128574,8
2021-08-02,236620,8
2021-08-03,209827,8
2021-08-04,232307,8
2021-08-05,237677,8
2021-08-06,375939,8
2021-08-07,153906,8
2021-08-08,131213,8
2021-08-09,277992,8
2021-08-10,233170,8
2021-08-11,288201,8
2021-08-12,276124,8
2021-08-13,354911,8
2021-08-14,169361,8
2021-08-15,141772,8
2021-08-16,308831,8
2021-08-17,276245,8
2021-08-18,298125,8
2021-08-19,276462,8
2021-08-20,356973,8
2021-08-21,186627,8
2021-08-22,143008,8
2021-08-23,318366,8
2021-08-24,273701,8
2021-08-25,308194,8
2021-08-26,305338,8
2021-08-27,342653,8
2021-08-28,189952,8
2021-08-29,144594,8
2021-08-30,321365,8
2021-08-31,262396,8
2021-09-01,319268,8
2021-09-02,291615,8
2021-09-03,347963,8
2021-09-04,173459,8
2021-09-05,152182,8
2021-09-06,182752,8
2021-09-07,305394,8
2021-09-08,273440,8
2021-09-09,274659,8
2021-09-10,333234,8
2021-09-11,160940,8
2021-09-12,117323,8
2021-09-13,282213,8
2021-09-14,222616,8
2021-09-15,244383,8
2021-09-16,239974,8
2021-09-17,287622,8
2021-09-18,138868,8
2021-09-19,107345,8
2021-09-20,238859,8
2021-09-21,189785,8
2021-09-22,207049,8
2021-09-23,206518,8
2021-09-24,248766,8
2021-09-25,117506,8
2021-09-26,117062,8
2021-09-27,219371,8
2021-09-28,175939,8
2021-09-29,193958,8
2021-09-30,184458,8
2021-10-01,224804,8
2021-10-02,105016,8
2021-10-03,99910,8
2021-10-04,202298,8
2021-10-05,156695,8
2021-10-06,188443,8
2021-10-07,174672,8
2021-10-08,197020,8
2021-10-09,102459,8
2021-10-10,98632,8
2021-10-11,158837,8
2021-10-12,175451,8
2021-10-13,181506,8
2021-10-14,170312,8
2021-10-15,188461,8
2021-10-16,109189,8
2021-10-17,102878,8
2021-10-18,170971,8
2021-10-19,156245,8
2021-10-20,181556,8
2021-10-21,169678,8
2021-10-22,188552,8
2021-10-23,110117,8
2021-10-24,89769,8
2021-10-25,171331,8
2021-10-26,142820,8
2021-10-27,194784,8
2021-10-28,167263,8
2021-10-29,187105,8
2021-10-30,116098,8
2021-10-31,106428,8
2021-11-01,177367,8
2021-11-02,134256,8
2021-11-03,175858,8
2021-11-04,180816,8
2021-11-05,195598,8
2021-11-06,122751,8
2021-11-07,112402,8
2021-11-08,180034,8
2021-11-09,160279,8
2021-11-10,208843,8
2021-11-11,184565,8
2021-11-12,255485,8
2021-11-13,154634,8
2021-11-14,128113,8
2021-11-15,223735,8
2021-11-16,194708,8
2021-11-17,247379,8
2021-11-18,266584,8
2021-11-19,268918,8
2021-11-20,187419,8
2021-11-21,156200,8
2021-11-22,253572,8
2021-11-23,232047,8
2021-11-24,280043,8
2021-11-25,223861,8
2021-11-26,242246,8
2021-11-27,186743,8
2021-11-28,172666,8
2021-11-29,301955,8
2021-11-30,277896,8
2021-12-01,332779,8
2021-12-02,349261,8
2021-12-03,368520,8
2021-12-04,242995,8
2021-12-05,201224,8
2021-12-06,281484,8
2021-12-07,316897,8
2021-12-08,353273,8
2021-12-09,344764,8
2021-12-10,373935,8
2021-12-11,239500,8
2021-12-12,198757,8
2021-12-13,338831,8
2021-12-14,318499,8
2021-12-15,391815,8
2021-12-16,404922,8
2021-12-17,459023,8
2021-12-18,300036,8
2021-12-19,275727,8
2021-12-20,461782,8
2021-12-21,448430,8
2021-12-22,578081,8
2021-12-23,649095,8
2021-12-24,552643,8
2021-12-25,391815,8
2021-12-26,362514,8
2021-12-27,900657,8
2021-12-28,881552,8
2021-12-29,1134290,8
2021-12-30,1321213,8
2021-12-31,1124234,8
2022-01-01,740403,8
2022-01-02,555293,8
2022-01-03,1762187,8
2022-01-04,1628968,8
2022-01-05,1576577,8
2022-01-06,1565554,8
2022-01-07,1786633,8
2022-01-08,1097742,8
2022-01-09,1117210,8
2022-01-10,2059040,8
2022-01-11,1676786,8
2022-01-12,1800485,8
2022-01-13,1703974,8
2022-01-14,1768596,8
2022-01-15,1086761,8
2022-01-16,1041190,8
2022-01-17,1319923,8
2022-01-18,2089904,8
2022-01-19,1928191,8
2022-01-20,1762594,8
2022-01-21,1811143,8
2022-01-22,1085829,8
2022-01-23,975583,8
2022-01-24,1581314,8
2022-01-25,1554467,8
2022-01-26,1634745,8
2022-01-27,1501674,8
2022-01-28,1528041,8
2022-01-29,922405,8
2022-01-30,755592,8
2022-01-31,1826124,8
2022-02-01,1262304,8
2022-02-02,1186553,8
2022-02-03,1108006,8
2022-02-04,1066763,8
2022-02-05,696145,8
2022-02-06,540622,8
2022-02-07,832406,8
2022-02-08,875055,8
2022-02-09,678492,8
2022-02-10,1081987,8
2022-02-11,792125,8
2022-02-12,508658,8
2022-02-13,390856,8
2022-02-14,449627,8
2022-02-15,450896,8
2022-02-16,750702,8
2022-02-17,599951,8
2022-02-18,606453,8
2022-02-19,405298,8
2022-02-20,296473,8
2022-02-21,316061,8
2022-02-22,465257,8
2022-02-23,516703,8
2022-02-24,496780,8
2022-02-25,467847,8
2022-02-26,398126,8
2022-02-27,261376,8
2022-02-28,345348,8
2022-03-01,520953,8
2022-03-02,483159,8
2022-03-03,516830,8
2022-03-04,512515,8
2022-03-05,374315,8
2022-03-06,256407,8
2022-03-07,387980,8
2022-03-08,472649,8
2022-03-09,500426,8
2022-03-10,586595,8
2022-03-11,556435,8
2022-03-12,404033,8
2022-03-13,305919,8
2022-03-14,384713,8
2022-03-15,619865,8
2022-03-16,622284,8
2022-03-17,650185,8
2022-03-18,689426,8
2022-03-19,468309,8
2022-03-20,304756,8
2022-03-21,438695,8
2022-03-22,696751,8
2022-03-23,677746,8
2022-03-24,704667,8
2022-03-25,730834,8
2022-03-26,491391,8
2022-03-27,309690,8
2022-03-28,399973,8
2022-03-29,735129,8
2022-03-30,655862,8
2022-03-31,908234,8
2022-04-01,388240,8
2022-04-02,427382,8
2022-04-03,294719,8
2022-04-04,254936,8
2022-04-05,607284,8
2022-04-06,762339,8
2022-04-07,532143,8
2022-04-08,576009,8
2022-04-09,303407,8
2022-04-10,232365,8
2022-04-11,417711,8
2022-04-12,507239,8
2022-04-13,481429,8
2022-04-14,473957,8
2022-04-15,320292,8
2022-04-16,230437,8
